"Cannot create an invoice without products.","No es posible generar la factura sin productos impagos."
"Order invoiced by API notification. Authorization Id: ","Pedido facturado mediante notificación API. ID de autorización:"
"Select the taxvat attribute","Seleccione el atributo TAXVAT"
"There isn't invoice to refund on order ","No hay factura para reembolsar"
"Sync Picpay Transaction","Sincronizar pedido con Picpay"
"Are you sure you want to Sync Picpay Transaction?","¿Está seguro de que desea forzar la sincronización de pedidos con Picpay?"
"Order canceled with success at Picpay.","Pedido cancelado correctamente en Picpay."
"Error while try refund order. ","Se produjo un error durante el reembolso del pedido."
"Unable to process refund payment. Contact Us.","No pudimos procesar el reembolso del pago. Contáctenos."
"Invalid payment url","URL de pago no válida"
"Enable","Habilitado"
"Title","Título"
"Checkout Mode","Modo de funcionamiento al finalizar la compra"
"Iframe width on iframe Mode","Checkout Iframe Width en modo iframe"
"Iframe height on iframe Mode","Altura de iframe de pago en modo iframe"
"Iframe callback message after paid","Mensaje personalizado que se mostrará después de que se detecte el pago"
"Qrcode width on Onpage Mode","Ancho del código QR en el modo On Page"
"Message to show with qrcode on success page","Mensaje de instrucciones que se mostrará con QRcode"
"Qrcode width on info payments","Ancho del código QR en la información de pago"
"API Picpay Token","API de Picpay Token"
"API Seller Token","API de vendedor de tokens"
"Order status: order creation","Estado del pedido creado"
"Status given to newly created orders before payment result confirmation via server notifications.","Estado que se utiliza al crear el pedido desde el método de pago PicPay."
"Use custom form","¿Usar formulario personalizado?"
"Custom html form","HTML personalizado para formulario de pago"
"Customer document attribute","Atributo CPF"
"If your store use a customer ID custom ttribute, select here.","Seleccione el atributo CPF de su tienda."
"If your store use a custom telephone attribute, select here.","Seleccione el atributo de teléfono de su tienda"
"Customer address attribute","Dirección del cliente"
"Enable status order notification","Habilitar notificaciones de API"
"Payment from applicable countries","Países aplicables"
"Payment from specific countries","Pago de países específicos"
"Enable debug logging","Habilitar el registro de depuración"
"Sort Order","Ordenar"
"In pixels. Just numbers.","En píxeles. Sólo números."
"Set the sequence number of this payment method in the checkout. Payment methods with a higher sort order number will be displayed lower in the list.","Para solicitar los métodos de pago en la sección de pago de caja"
"Enable with want build a custom HTML form in Checkout","Habilite si desea utilizar HTML personalizado en el formulario de pago al finalizar la compra"
"Accept html. The extension has a default message on checkout.","Acepta html. Ya existe un mensaje predeterminado si no desea hacer algo personalizado."
"Not familiar with PicPay ?","¿No estás familiarizado con PicPay?"
"Click here","Haga clic aquí"
" and download now to make your payment."," y descárguelo ahora para realizar su pago."
"Your order has been approved.","Su pedido ha sido aprobado."
"Check your order details below...","Verifique los detalles de su pedido a continuación ..."
